scientific_name_raw,scientific_name_display,scientific_name_clean_original,scientific_name_clean,was_merged
Alouatta belzebul,Alouatta belzebul,alouatta belzebul,alouatta belzebul,FALSE
Alouatta caraya,Alouatta caraya,alouatta caraya,alouatta caraya,FALSE
Alouatta coibensis,Alouatta coibensis,alouatta coibensis,alouatta coibensis,FALSE
Alouatta guariba,Alouatta guariba,alouatta guariba,alouatta guariba,FALSE
Alouatta macconnelli,Alouatta macconnelli,alouatta macconnelli,alouatta macconnelli,FALSE
Alouatta nigerrima,Alouatta nigerrima,alouatta nigerrima,alouatta nigerrima,FALSE
Alouatta palliata,Alouatta palliata,alouatta palliata,alouatta palliata,FALSE
Alouatta pigra,Alouatta pigra,alouatta pigra,alouatta pigra,FALSE
Alouatta sara,Alouatta sara,alouatta sara,alouatta sara,FALSE
Alouatta seniculus,Alouatta seniculus,alouatta seniculus,alouatta seniculus,FALSE
Ateles belzebuth,Ateles belzebuth,ateles belzebuth,ateles belzebuth,FALSE
Ateles chamek,Ateles chamek,ateles chamek,ateles chamek,FALSE
Ateles fusciceps,Ateles fusciceps,ateles fusciceps,ateles fusciceps,FALSE
Ateles geoffroyi,Ateles geoffroyi,ateles geoffroyi,ateles geoffroyi,FALSE
Ateles hybridus,Ateles hybridus,ateles hybridus,ateles hybridus,FALSE
Ateles marginatus,Ateles marginatus,ateles marginatus,ateles belzebuth,TRUE
Ateles paniscus,Ateles paniscus,ateles paniscus,ateles paniscus,FALSE
Brachyteles arachnoides,Brachyteles arachnoides,brachyteles arachnoides,brachyteles arachnoides,FALSE
Brachyteles hypoxanthus,Brachyteles hypoxanthus,brachyteles hypoxanthus,brachyteles hypoxanthus,FALSE
Lagothrix cana,Lagothrix cana,lagothrix cana,lagothrix cana,FALSE
Lagothrix lagotricha,Lagothrix lagotricha,lagothrix lagotricha,lagothrix lagotricha,FALSE
Lagothrix lugens,Lagothrix lugens,lagothrix lugens,lagothrix lugens,FALSE
Lagothrix poeppigii,Lagothrix poeppigii,lagothrix poeppigii,lagothrix poeppigii,FALSE
Oreonax flavicauda,Oreonax flavicauda,oreonax flavicauda,oreonax flavicauda,FALSE
Callimico goeldii,Callimico goeldii,callimico goeldii,callimico goeldii,FALSE
Callithrix acariensis,Callithrix acariensis,callithrix acariensis,callithrix acariensis,FALSE
Callithrix argentata,Callithrix argentata,callithrix argentata,callithrix argentata,FALSE
Callithrix aurita,Callithrix aurita,callithrix aurita,callithrix aurita,FALSE
Callithrix chrysoleuca,Callithrix chrysoleuca,callithrix chrysoleuca,callithrix chrysoleuca,FALSE
Callithrix emiliae,Callithrix emiliae,callithrix emiliae,callithrix emiliae,FALSE
Callithrix flaviceps,Callithrix flaviceps,callithrix flaviceps,callithrix flaviceps,FALSE
Callithrix geoffroyi,Callithrix geoffroyi,callithrix geoffroyi,callithrix geoffroyi,FALSE
Callithrix humeralifera,Callithrix humeralifera,callithrix humeralifera,callithrix humeralifera,FALSE
Callithrix humilis,Callithrix humilis,callithrix humilis,callithrix humilis,FALSE
Callithrix intermedia,Callithrix intermedia,callithrix intermedia,callithrix intermedia,FALSE
Callithrix jacchus,Callithrix jacchus,callithrix jacchus,callithrix jacchus,FALSE
Callithrix kuhlii,Callithrix kuhlii,callithrix kuhlii,callithrix kuhlii,FALSE
Callithrix leucippe,Callithrix leucippe,callithrix leucippe,callithrix leucippe,FALSE
Callithrix manicorensis,Callithrix manicorensis,callithrix manicorensis,callithrix manicorensis,FALSE
Callithrix marcai,Callithrix marcai,callithrix marcai,callithrix marcai,FALSE
Callithrix mauesi,Callithrix mauesi,callithrix mauesi,callithrix mauesi,FALSE
Callithrix melanura,Callithrix melanura,callithrix melanura,callithrix melanura,FALSE
Callithrix nigriceps,Callithrix nigriceps,callithrix nigriceps,callithrix nigriceps,FALSE
Callithrix penicillata,Callithrix penicillata,callithrix penicillata,callithrix penicillata,FALSE
Callithrix pygmaea,Callithrix pygmaea,callithrix pygmaea,callithrix pygmaea,FALSE
Callithrix saterei,Callithrix saterei,callithrix saterei,callithrix saterei,FALSE
Cebus albifrons,Cebus albifrons,cebus albifrons,cebus albifrons,FALSE
Cebus apella,Cebus apella,cebus apella,cebus apella,FALSE
