scientific_name_clean,scientific_name_raw,scientific_name_display,scientific_name_clean_original,merged_from_species,n_rows_collapsed,n_unique_input_species,routine_trichromacy,routine_trichromacy_conflict,diet_pct_fruit_eltontraits,diet_pct_fruit_n,diet_pct_fruit_min,diet_pct_fruit_max,max_longevity_years_pantheria,max_longevity_pantheria_n,included_in_core_non_nocturnal_build,included_in_core_conflict,order,order_conflict,foraging_stratum_eltontraits,foraging_stratum_conflict,abs_latitude_mid_dd,abs_latitude_mid_pantheria,lat_mid_dd_pantheria,lat_midrange_dd_pantheria,lat_min_dd_pantheria,lat_max_dd_pantheria
allenopithecus nigroviridis,Allenopithecus nigroviridis,Allenopithecus nigroviridis,allenopithecus nigroviridis,allenopithecus nigroviridis,1,1,1,FALSE,50,1,50,50,23,1,1,FALSE,Primates,FALSE,scansorial,FALSE,0.17,NA,-0.17,NA,-3.85,3.5
allocebus trichotis,Allocebus trichotis,Allocebus trichotis,allocebus trichotis,allocebus trichotis,1,1,0,FALSE,50,1,50,50,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,16.59,NA,-16.59,NA,-19.18,-13.99
alouatta belzebul,Alouatta belzebul,Alouatta belzebul,alouatta belzebul,alouatta belzebul,1,1,1,FALSE,40,1,40,40,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,6.8,NA,-6.8,NA,-13.69,0.08
alouatta caraya,Alouatta caraya,Alouatta caraya,alouatta caraya,alouatta caraya,1,1,1,FALSE,40,1,40,40,20.3,1,1,FALSE,Primates,FALSE,arboreal,FALSE,20.34,NA,-20.34,NA,-28.59,-12.1
alouatta coibensis,Alouatta coibensis,Alouatta coibensis,alouatta coibensis,alouatta coibensis,1,1,1,FALSE,40,1,40,40,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,7.63,NA,7.63,NA,7.31,7.94
alouatta guariba,Alouatta guariba,Alouatta guariba,alouatta guariba,alouatta guariba,1,1,1,FALSE,40,1,40,40,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,21.13,NA,-21.13,NA,-29.6,-12.66
alouatta macconnelli,Alouatta macconnelli,Alouatta macconnelli,alouatta macconnelli,alouatta macconnelli,1,1,1,FALSE,40,1,40,40,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,2.57,NA,2.57,NA,-3.5,8.64
alouatta nigerrima,Alouatta nigerrima,Alouatta nigerrima,alouatta nigerrima,alouatta nigerrima,1,1,1,FALSE,40,1,40,40,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,5.63,NA,-5.63,NA,-9.07,-2.19
alouatta palliata,Alouatta palliata,Alouatta palliata,alouatta palliata,alouatta palliata,1,1,1,FALSE,40,1,40,40,25,1,1,FALSE,Primates,FALSE,arboreal,FALSE,6.95,NA,6.95,NA,-4.8,18.71
alouatta pigra,Alouatta pigra,Alouatta pigra,alouatta pigra,alouatta pigra,1,1,1,FALSE,40,1,40,40,20,1,1,FALSE,Primates,FALSE,arboreal,FALSE,18.8,NA,18.8,NA,16,21.6
alouatta sara,Alouatta sara,Alouatta sara,alouatta sara,alouatta sara,1,1,1,FALSE,40,1,40,40,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,14.72,NA,-14.72,NA,-19.49,-9.94
alouatta seniculus,Alouatta seniculus,Alouatta seniculus,alouatta seniculus,alouatta seniculus,1,1,1,FALSE,40,1,40,40,25,1,1,FALSE,Primates,FALSE,arboreal,FALSE,0.68,NA,0.68,NA,-10.84,12.2
ateles belzebuth,Ateles belzebuth,Ateles belzebuth,ateles belzebuth,ateles belzebuth,2,1,0,FALSE,60,1,60,60,28,1,1,FALSE,Primates,FALSE,arboreal,FALSE,2.5650000000000004,NA,-2.5650000000000004,NA,-6.91,1.77
ateles chamek,Ateles chamek,Ateles chamek,ateles chamek,ateles chamek,1,1,0,FALSE,60,1,60,60,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,7.01,NA,-7.01,NA,-11.43,-2.58
ateles fusciceps,Ateles fusciceps,Ateles fusciceps,ateles fusciceps,ateles fusciceps,1,1,0,FALSE,60,1,60,60,24,1,1,FALSE,Primates,FALSE,arboreal,FALSE,6.44,NA,6.44,NA,1.77,11.11
ateles geoffroyi,Ateles geoffroyi,Ateles geoffroyi,ateles geoffroyi,ateles geoffroyi,1,1,0,FALSE,60,1,60,60,27.3,1,1,FALSE,Primates,FALSE,arboreal,FALSE,12.38,NA,12.38,NA,0.67,24.09
ateles hybridus,Ateles hybridus,Ateles hybridus,ateles hybridus,ateles hybridus,1,1,0,FALSE,60,1,60,60,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,8.8,NA,8.8,NA,6.26,11.35
