scientific_name_clean,scientific_name_raw,scientific_name_display,scientific_name_clean_original,merged_from_species,n_rows_collapsed,n_unique_input_species,routine_trichromacy,routine_trichromacy_conflict,diet_pct_fruit_eltontraits,diet_pct_fruit_n,diet_pct_fruit_min,diet_pct_fruit_max,max_longevity_years_pantheria,max_longevity_pantheria_n,included_in_core_non_nocturnal_build,included_in_core_conflict,order,order_conflict,foraging_stratum_eltontraits,foraging_stratum_conflict,abs_latitude_mid_dd,abs_latitude_mid_pantheria,lat_mid_dd_pantheria,lat_midrange_dd_pantheria,lat_min_dd_pantheria,lat_max_dd_pantheria,anage_longevity_years,longevity_years,log_longevity,abs_latitude,uv_i,arboreal_i,luv_raw,z_frugivory,z_luv,z_lifetime,miss_routine,miss_z_frug,miss_z_luv,miss_arboreal,complete_full_model
allenopithecus nigroviridis,Allenopithecus nigroviridis,Allenopithecus nigroviridis,allenopithecus nigroviridis,allenopithecus nigroviridis,1,1,1,FALSE,50,1,50,50,23,1,1,FALSE,primates,FALSE,scansorial,FALSE,0.17,NA,-0.17,NA,-3.85,3.5,27,23,3.1354942159291497,0.17,0.9999955982815133,1,22.999898760474807,0.46045447477874507,-0.5211971566585872,-0.5073329492840883,FALSE,FALSE,FALSE,FALSE,TRUE
alouatta caraya,Alouatta caraya,Alouatta caraya,alouatta caraya,alouatta caraya,1,1,1,FALSE,40,1,40,40,20.3,1,1,FALSE,primates,FALSE,arboreal,FALSE,20.34,NA,-20.34,NA,-28.59,-12.1,32.4,20.3,3.0106208860477417,20.34,0.9376464992972356,0.1,19.034223935733884,-0.043376146174809144,-0.9131807298726025,-0.7160169815012277,FALSE,FALSE,FALSE,FALSE,TRUE
alouatta palliata,Alouatta palliata,Alouatta palliata,alouatta palliata,alouatta palliata,1,1,1,FALSE,40,1,40,40,25,1,1,FALSE,primates,FALSE,arboreal,FALSE,6.95,NA,6.95,NA,-4.8,18.71,24,25,3.2188758248682006,6.95,0.992652124759271,0.1,24.816303118981775,-0.043376146174809144,-0.3416562960698506,-0.35275218467879993,FALSE,FALSE,FALSE,FALSE,TRUE
alouatta pigra,Alouatta pigra,Alouatta pigra,alouatta pigra,alouatta pigra,1,1,1,FALSE,40,1,40,40,20,1,1,FALSE,primates,FALSE,arboreal,FALSE,18.8,NA,18.8,NA,16,21.6,NA,20,2.995732273553991,18.8,0.9466492601156964,0.1,18.93298520231393,-0.043376146174809144,-0.923187581726929,-0.739204096192021,FALSE,FALSE,FALSE,FALSE,TRUE
alouatta seniculus,Alouatta seniculus,Alouatta seniculus,alouatta seniculus,alouatta seniculus,1,1,1,FALSE,40,1,40,40,25,1,1,FALSE,primates,FALSE,arboreal,FALSE,0.68,NA,0.68,NA,-10.84,12.2,25,25,3.2188758248682006,0.6799999999999999,0.9999295732792147,0.1,24.99823933198037,-0.043376146174809144,-0.3236729741839282,-0.35275218467879993,FALSE,FALSE,FALSE,FALSE,TRUE
ateles belzebuth,Ateles belzebuth,Ateles belzebuth,ateles belzebuth,ateles belzebuth,2,1,0,FALSE,60,1,60,60,28,1,1,FALSE,primates,FALSE,arboreal,FALSE,2.5650000000000004,NA,-2.5650000000000004,NA,-6.91,1.77,40.5,28,3.332204510175204,2.565,0.9989980940754456,0.1,27.971946634112477,0.9642850957322994,-0.029739541540845935,-0.12088103777086728,FALSE,FALSE,FALSE,FALSE,TRUE
ateles fusciceps,Ateles fusciceps,Ateles fusciceps,ateles fusciceps,ateles fusciceps,1,1,0,FALSE,60,1,60,60,24,1,1,FALSE,primates,FALSE,arboreal,FALSE,6.44,NA,6.44,NA,1.77,11.11,46,24,3.1780538303479458,6.44,0.9936898569964848,0.1,23.848556567915637,0.9642850957322994,-0.4373123364203669,-0.43004256698144416,FALSE,FALSE,FALSE,FALSE,TRUE
ateles geoffroyi,Ateles geoffroyi,Ateles geoffroyi,ateles geoffroyi,ateles geoffroyi,1,1,0,FALSE,60,1,60,60,27.3,1,1,FALSE,primates,FALSE,arboreal,FALSE,12.38,NA,12.38,NA,0.67,24.09,47.1,27.3,3.3068867021909143,12.38,0.9767471755999566,0.1,26.665197893878815,0.9642850957322994,-0.15890394939750052,-0.17498430538271817,FALSE,FALSE,FALSE,FALSE,TRUE
ateles paniscus,Ateles paniscus,Ateles paniscus,ateles paniscus,ateles paniscus,1,1,0,FALSE,60,1,60,60,37.8,1,1,FALSE,primates,FALSE,arboreal,FALSE,2.06,NA,2.06,NA,-3.14,7.28,46,37.8,3.632309102625542,2.06,0.9993537323810014,0.1,37.775571084001854,0.9642850957322994,0.9392909292232253,0.6365647087950458,FALSE,FALSE,FALSE,FALSE,TRUE
brachyteles arachnoides,Brachyteles arachnoides,Brachyteles arachnoides,brachyteles arachnoides,brachyteles arachnoides,1,1,0,FALSE,20,1,20,20,NA,0,1,FALSE,primates,FALSE,arboreal,FALSE,22.66,NA,-22.66,NA,-23.11,-22.21,40,40,3.6888794541139363,22.66,0.9228072778591088,0.1,36.91229111436435,-1.0510373880819177,0.8539607944700054,0.8066035498608634,FALSE,FALSE,FALSE,FALSE,TRUE
cacajao calvus,Cacajao calvus,Cacajao calvus,cacajao calvus,cacajao calvus,1,1,0,FALSE,70,1,70,70,27,1,1,FALSE,primates,FALSE,arboreal,FALSE,5.73,NA,-5.73,NA,-9.62,-1.84,35.8,27,3.295836866004329,5.73,0.99500342986418,0.1,26.86509260633286,1.4681157166858536,-0.139145535730933,-0.1981714200735115,FALSE,FALSE,FALSE,FALSE,TRUE
cacajao melanocephalus,Cacajao melanocephalus,Cacajao melanocephalus,cacajao melanocephalus,cacajao melanocephalus,1,1,0,FALSE,70,1,70,70,18,1,1,FALSE,primates,FALSE,arboreal,FALSE,0.53,NA,0.53,NA,-2.95,4.03,NA,18,2.8903717578961645,0.53,0.9999572167884616,0.1,17.999229902192308,1.4681157166858536,-1.0154837873476483,-0.8937848607973095,FALSE,FALSE,FALSE,FALSE,TRUE
callicebus moloch,Callicebus moloch,Callicebus moloch,callicebus moloch,callicebus moloch,1,1,0,FALSE,50,1,50,50,25.3,1,1,FALSE,primates,FALSE,arboreal,FALSE,7.7,NA,-7.7,NA,-14.1,-1.3,NA,25.3,3.2308043957334744,7.7,0.9909831997148363,0.1,25.071874952785357,0.46045447477874507,-0.3163945272525519,-0.3295650699880066,FALSE,FALSE,FALSE,FALSE,TRUE
callimico goeldii,Callimico goeldii,Callimico goeldii,callimico goeldii,callimico goeldii,1,1,0,FALSE,50,1,50,50,17.9,1,1,FALSE,primates,FALSE,arboreal,FALSE,5.33,NA,-5.33,NA,-11.64,0.97,22.2,17.9,2.884800712846709,5.33,0.995676196568517,0.1,17.822603918576455,0.46045447477874507,-1.0329422243703321,-0.901513899027574,FALSE,FALSE,FALSE,FALSE,TRUE
callithrix argentata,Callithrix argentata,Callithrix argentata,callithrix argentata,callithrix argentata,1,1,0,FALSE,60,1,60,60,16.8,1,1,FALSE,primates,FALSE,arboreal,FALSE,3.09,NA,-3.09,NA,-5.09,-1.09,NA,16.8,2.8213788864092133,3.09,0.9985460936510022,0.1,16.775574373336838,0.9642850957322994,-1.1364349212105183,-0.9865333195604824,FALSE,FALSE,FALSE,FALSE,TRUE
callithrix geoffroyi,Callithrix geoffroyi,Callithrix geoffroyi,callithrix geoffroyi,callithrix geoffroyi,1,1,0,FALSE,30,1,30,30,NA,0,1,FALSE,primates,FALSE,arboreal,FALSE,18.99,NA,-18.99,NA,-21.07,-16.9,17.6,17.6,2.8678989020441064,18.99,0.9455753835603061,0.1,16.64212675066139,-0.5472067671283634,-1.1496254318512023,-0.924701013718367,FALSE,FALSE,FALSE,FALSE,TRUE
callithrix humeralifera,Callithrix humeralifera,Callithrix humeralifera,callithrix humeralifera,callithrix humeralifera,1,1,0,FALSE,60,1,60,60,15,1,1,FALSE,primates,FALSE,arboreal,FALSE,5.36,NA,-5.36,NA,-8.45,-2.27,NA,15,2.70805020110221,5.359999999999999,0.9956274219821757,0.1,14.934411329732635,0.9642850957322994,-1.3184230318339647,-1.1256560077052422,FALSE,FALSE,FALSE,FALSE,TRUE
callithrix jacchus,Callithrix jacchus,Callithrix jacchus,callithrix jacchus,callithrix jacchus,1,1,0,FALSE,30,1,30,30,16.8,1,1,FALSE,primates,FALSE,arboreal,FALSE,6.58,NA,-6.58,NA,-10.38,-2.78,22.8,16.8,2.8213788864092133,6.58,0.9934128257140318,0.1,16.689335471995733,-0.5472067671283634,-1.1449591281088853,-0.9865333195604824,FALSE,FALSE,FALSE,FALSE,TRUE
callithrix penicillata,Callithrix penicillata,Callithrix penicillata,callithrix penicillata,callithrix penicillata,1,1,0,FALSE,30,1,30,30,NA,0,1,FALSE,primates,FALSE,arboreal,FALSE,12.68,NA,-12.68,NA,-23.03,-2.32,15.4,15.4,2.7343675094195836,12.68,0.975611225313615,0.1,15.024412869829671,-0.5472067671283634,-1.309526910280603,-1.0947398547841845,FALSE,FALSE,FALSE,FALSE,TRUE
callithrix pygmaea,Callithrix pygmaea,Callithrix pygmaea,callithrix pygmaea,callithrix pygmaea,1,1,0,FALSE,0,1,0,0,15.1,1,1,FALSE,primates,FALSE,arboreal,FALSE,5.96,NA,-5.96,NA,-12.52,0.59,NA,15.1,2.714694743820879,5.96,0.9945946276372433,0.1,15.018378877322373,-2.058698629989026,-1.310123334861106,-1.1179269694749776,FALSE,FALSE,FALSE,FALSE,TRUE
cebus albifrons,Cebus albifrons,Cebus albifrons,cebus albifrons,cebus albifrons,1,1,0,FALSE,20,1,20,20,44,1,1,FALSE,primates,FALSE,arboreal,FALSE,0.82,NA,-0.82,NA,-13.21,11.56,40.4,44,3.784189633918261,0.8200000000000001,0.999897589371505,0.1,43.99549393234622,-1.0510373880819177,1.5540936276186497,1.1157650790714402,FALSE,FALSE,FALSE,FALSE,TRUE
cebus apella,Cebus apella,Cebus apella,cebus apella,cebus apella,1,1,0,FALSE,20,1,20,20,45.1,1,1,FALSE,primates,FALSE,arboreal,FALSE,10.77,NA,-10.77,NA,-28.66,7.12,NA,45.1,3.8088822465086327,10.77,0.9823852287012823,0.1,44.30557381442783,-1.0510373880819177,1.584743195606885,1.2007844996043489,FALSE,FALSE,FALSE,FALSE,TRUE
cebus capucinus,Cebus capucinus,Cebus capucinus,cebus capucinus,cebus capucinus,1,1,0,FALSE,20,1,20,20,54.8,1,1,FALSE,primates,FALSE,arboreal,FALSE,8.74,NA,8.74,NA,1.46,16.02,54,54.8,4.00369019395397,8.739999999999998,0.9883880459536023,0.1,54.1636649182574,-1.0510373880819177,2.5591573739556757,1.9505012079399975,FALSE,FALSE,FALSE,FALSE,TRUE
cebus olivaceus,Cebus olivaceus,Cebus olivaceus,cebus olivaceus,cebus olivaceus,1,1,0,FALSE,20,1,20,20,41,1,1,FALSE,primates,FALSE,arboreal,FALSE,4.78,NA,4.78,NA,-1.8,11.37,47,41,3.713572066704308,4.78,0.9965220076166375,0.1,40.85740231228213,-1.0510373880819177,1.2439117744239565,0.8838939321635075,FALSE,FALSE,FALSE,FALSE,TRUE
