tree_tip_raw,tree_tip_display,tree_tip_clean
allocebus trichotis,allocebus trichotis,allocebus trichotis
alouatta belzebul,alouatta belzebul,alouatta belzebul
alouatta guariba,alouatta guariba,alouatta guariba
alouatta sara,alouatta sara,alouatta sara
aotus azarai,aotus azarai,aotus azarai
aotus brumbacki,aotus brumbacki,aotus brumbacki
aotus infulatus,aotus infulatus,aotus infulatus
aotus lemurinus,aotus lemurinus,aotus lemurinus
aotus nancymaae,aotus nancymaae,aotus nancymaae
aotus nigriceps,aotus nigriceps,aotus nigriceps
aotus trivirgatus,aotus trivirgatus,aotus trivirgatus
aotus vociferans,aotus vociferans,aotus vociferans
archaeolemur majori,archaeolemur majori,archaeolemur majori
arctocebus aureus,arctocebus aureus,arctocebus aureus
arctocebus calabarensis,arctocebus calabarensis,arctocebus calabarensis
avahi cleesei,avahi cleesei,avahi cleesei
avahi laniger,avahi laniger,avahi laniger
avahi occidentalis,avahi occidentalis,avahi occidentalis
avahi unicolor,avahi unicolor,avahi unicolor
bunopithecus hoolock,bunopithecus hoolock,bunopithecus hoolock
callicebus donacophilus,callicebus donacophilus,callicebus donacophilus
callicebus hoffmannsi,callicebus hoffmannsi,callicebus hoffmannsi
callicebus personatus,callicebus personatus,callicebus personatus
callicebus torquatus,callicebus torquatus,callicebus torquatus
callithrix aurita,callithrix aurita,callithrix aurita
callithrix emiliae,callithrix emiliae,callithrix emiliae
callithrix kuhli,callithrix kuhli,callithrix kuhli
callithrix mauesi,callithrix mauesi,callithrix mauesi
cebus xanthosternos,cebus xanthosternos,cebus xanthosternos
cercopithecus albogularis,cercopithecus albogularis,cercopithecus albogularis
cercopithecus erythrotis,cercopithecus erythrotis,cercopithecus erythrotis
cercopithecus preussi,cercopithecus preussi,cercopithecus preussi
cercopithecus solatus,cercopithecus solatus,cercopithecus solatus
cheirogaleus crossleyi,cheirogaleus crossleyi,cheirogaleus crossleyi
cheirogaleus major,cheirogaleus major,cheirogaleus major
cheirogaleus medius,cheirogaleus medius,cheirogaleus medius
chiropotes satanas,chiropotes satanas,chiropotes satanas
chlorocebus pygerythrus,chlorocebus pygerythrus,chlorocebus pygerythrus
chlorocebus sabaeus,chlorocebus sabaeus,chlorocebus sabaeus
chlorocebus tantalus,chlorocebus tantalus,chlorocebus tantalus
colobus satanas,colobus satanas,colobus satanas
colobus vellerosus,colobus vellerosus,colobus vellerosus
daubentonia madagascariensis,daubentonia madagascariensis,daubentonia madagascariensis
euoticus elegantulus,euoticus elegantulus,euoticus elegantulus
galago alleni,galago alleni,galago alleni
galago gallarum,galago gallarum,galago gallarum
galago granti,galago granti,galago granti
galago matschiei,galago matschiei,galago matschiei
galago moholi,galago moholi,galago moholi
galago senegalensis,galago senegalensis,galago senegalensis
galagoides demidoff,galagoides demidoff,galagoides demidoff
galagoides zanzibaricus,galagoides zanzibaricus,galagoides zanzibaricus
gorilla beringei,gorilla beringei,gorilla beringei
hapalemur aureus,hapalemur aureus,hapalemur aureus
hapalemur simus,hapalemur simus,hapalemur simus
homo sapiens,homo sapiens,homo sapiens
indri indri,indri indri,indri indri
lepilemur aeeclis,lepilemur aeeclis,lepilemur aeeclis
lepilemur ankaranensis,lepilemur ankaranensis,lepilemur ankaranensis
lepilemur dorsalis,lepilemur dorsalis,lepilemur dorsalis
lepilemur edwardsi,lepilemur edwardsi,lepilemur edwardsi
lepilemur hubbardorum,lepilemur hubbardorum,lepilemur hubbardorum
lepilemur leucopus,lepilemur leucopus,lepilemur leucopus
lepilemur manasamody,lepilemur manasamody,lepilemur manasamody
lepilemur microdon,lepilemur microdon,lepilemur microdon
lepilemur mitsinjoensis,lepilemur mitsinjoensis,lepilemur mitsinjoensis
lepilemur mustelinus,lepilemur mustelinus,lepilemur mustelinus
lepilemur otto,lepilemur otto,lepilemur otto
lepilemur randrianasoli,lepilemur randrianasoli,lepilemur randrianasoli
lepilemur ruficaudatus,lepilemur ruficaudatus,lepilemur ruficaudatus
lepilemur sahamalazensis,lepilemur sahamalazensis,lepilemur sahamalazensis
lepilemur seali,lepilemur seali,lepilemur seali
lepilemur septentrionalis,lepilemur septentrionalis,lepilemur septentrionalis
loris lydekkerianus,loris lydekkerianus,loris lydekkerianus
loris tardigradus,loris tardigradus,loris tardigradus
macaca brunnescens,macaca brunnescens,macaca brunnescens
macaca cyclopis,macaca cyclopis,macaca cyclopis
macaca hecki,macaca hecki,macaca hecki
macaca leonina,macaca leonina,macaca leonina
macaca munzala,macaca munzala,macaca munzala
macaca nigrescens,macaca nigrescens,macaca nigrescens
microcebus berthae,microcebus berthae,microcebus berthae
microcebus bongolavensis,microcebus bongolavensis,microcebus bongolavensis
microcebus danfossi,microcebus danfossi,microcebus danfossi
microcebus griseorufus,microcebus griseorufus,microcebus griseorufus
microcebus jollyae,microcebus jollyae,microcebus jollyae
microcebus lehilahytsara,microcebus lehilahytsara,microcebus lehilahytsara
microcebus lokobensis,microcebus lokobensis,microcebus lokobensis
microcebus macarthurii,microcebus macarthurii,microcebus macarthurii
microcebus mamiratra,microcebus mamiratra,microcebus mamiratra
microcebus mittermeieri,microcebus mittermeieri,microcebus mittermeieri
microcebus murinus,microcebus murinus,microcebus murinus
microcebus myoxinus,microcebus myoxinus,microcebus myoxinus
microcebus ravelobensis,microcebus ravelobensis,microcebus ravelobensis
microcebus rufus,microcebus rufus,microcebus rufus
microcebus sambiranensis,microcebus sambiranensis,microcebus sambiranensis
microcebus simmonsi,microcebus simmonsi,microcebus simmonsi
microcebus tavaratra,microcebus tavaratra,microcebus tavaratra
mirza coquereli,mirza coquereli,mirza coquereli
mirza zaza,mirza zaza,mirza zaza
nomascus gabriellae,nomascus gabriellae,nomascus gabriellae
nomascus nasutus,nomascus nasutus,nomascus nasutus
nomascus siki,nomascus siki,nomascus siki
nycticebus bengalensis,nycticebus bengalensis,nycticebus bengalensis
nycticebus coucang,nycticebus coucang,nycticebus coucang
nycticebus javanicus,nycticebus javanicus,nycticebus javanicus
nycticebus menagensis,nycticebus menagensis,nycticebus menagensis
nycticebus pygmaeus,nycticebus pygmaeus,nycticebus pygmaeus
otolemur crassicaudatus,otolemur crassicaudatus,otolemur crassicaudatus
otolemur garnettii,otolemur garnettii,otolemur garnettii
perodicticus potto,perodicticus potto,perodicticus potto
piliocolobus badius,piliocolobus badius,piliocolobus badius
piliocolobus foai,piliocolobus foai,piliocolobus foai
piliocolobus gordonorum,piliocolobus gordonorum,piliocolobus gordonorum
piliocolobus kirkii,piliocolobus kirkii,piliocolobus kirkii
piliocolobus pennantii,piliocolobus pennantii,piliocolobus pennantii
piliocolobus preussi,piliocolobus preussi,piliocolobus preussi
