scientific_name,routine_trichromacy,diet_pct_fruit_eltontraits,z_frugivory,longevity_years,log_longevity,abs_latitude,uv,foraging_stratum_eltontraits,arboreal,uv_arb,luv_arb,z_uv_arb
Alouatta belzebul,1,40,-0.04656425057311814,NA,NA,6.8,0.9929655081065369,arboreal,0.1,0.0992965508106537,NA,-0.4520059232579558
Alouatta caraya,1,40,-0.04656425057311814,20.3,3.0106208860477417,20.34,0.9376464992972356,arboreal,0.1,0.09376464992972357,1.9034223935733885,-0.4688122532831211
Alouatta coibensis,1,40,-0.04656425057311814,NA,NA,7.63,0.9911461550970212,arboreal,0.1,0.09911461550970213,NA,-0.4525586563558246
Alouatta guariba,1,40,-0.04656425057311814,NA,NA,21.130000000000003,0.9327649130588994,arboreal,0.1,0.09327649130588994,NA,-0.47029531581684436
Alouatta macconnelli,1,40,-0.04656425057311814,NA,NA,2.57,0.9989941848579477,arboreal,0.1,0.09989941848579477,NA,-0.4501743660178663
Alouatta nigerrima,1,40,-0.04656425057311814,NA,NA,5.63,0.9951761692737146,arboreal,0.1,0.09951761692737146,NA,-0.4513343078051648
Alouatta palliata,1,40,-0.04656425057311814,25,3.2188758248682006,6.95,0.992652124759271,arboreal,0.1,0.09926521247592711,2.4816303118981775,-0.4521011314706823
Alouatta pigra,1,40,-0.04656425057311814,20,2.995732273553991,18.8,0.9466492601156964,arboreal,0.1,0.09466492601156964,1.8932985202313928,-0.4660771469840501
Alouatta sara,1,40,-0.04656425057311814,NA,NA,14.719999999999999,0.9671791156156329,arboreal,0.1,0.09671791156156329,NA,-0.45984002281412334
Alouatta seniculus,1,40,-0.04656425057311814,25,3.2188758248682006,0.6799999999999999,0.9999295732792147,arboreal,0.1,0.09999295732792148,2.4998239331980368,-0.4498901879957379
Ateles belzebuth,0,60,0.961219172545078,28,3.332204510175204,0.44,0.9999705131786779,arboreal,0.1,0.09999705131786779,2.799917436900298,-0.449877750147042
Ateles chamek,0,60,0.961219172545078,42.8,3.756538102587751,7.01,0.992524866311091,arboreal,0.1,0.09925248663110911,4.24800642781147,-0.4521397935422675
Ateles fusciceps,0,60,0.961219172545078,24,3.1780538303479458,6.44,0.9936898569964848,arboreal,0.1,0.09936898569964848,2.3848556567915637,-0.45178586062921655
Ateles geoffroyi,0,60,0.961219172545078,27.3,3.3068867021909143,12.38,0.9767471755999566,arboreal,0.1,0.09767471755999567,2.666519789387882,-0.45693317438610004
Ateles hybridus,0,60,0.961219172545078,NA,NA,8.8,0.9882283814465528,arboreal,0.1,0.09882283814465528,NA,-0.45344509788765947
Ateles marginatus,0,60,0.961219172545078,44,3.784189633918261,4.6899999999999995,0.9966516726059063,arboreal,0.1,0.09966516726059063,4.3852673594659874,-0.45088603881973294
Ateles paniscus,0,60,0.961219172545078,37.8,3.632309102625542,2.06,0.9993537323810014,arboreal,0.1,0.09993537323810014,3.777557108400185,-0.4500651327820901
Brachyteles arachnoides,0,20,-1.0543476736913144,40,3.6888794541139363,22.66,0.9228072778591088,arboreal,0.1,0.09228072778591088,3.6912291114364355,-0.4733205201189457
Brachyteles hypoxanthus,0,20,-1.0543476736913144,NA,NA,20.51,0.936611052263697,arboreal,0.1,0.09366110522636971,NA,-0.46912682986256077
Lagothrix cana,0,70,1.4651108841041762,NA,NA,8.39,0.9892978141936767,arboreal,0.1,0.09892978141936767,NA,-0.4531201961933822
Lagothrix lagotricha,0,70,1.4651108841041762,30,3.4011973816621555,0.02,0.9999999390765166,arboreal,0.1,0.09999999390765167,2.99999981722955,-0.44986881033844794
Lagothrix lugens,0,70,1.4651108841041762,NA,NA,3.55,0.9980811434661735,arboreal,0.1,0.09980811434661735,NA,-0.4504517548447285
Lagothrix poeppigii,0,70,1.4651108841041762,NA,NA,5.22,0.9958527012051857,arboreal,0.1,0.09958527012051857,NA,-0.45112877232725956
Oreonax flavicauda,0,70,1.4651108841041762,NA,NA,7.89,0.9905334367505378,arboreal,0.1,0.09905334367505379,NA,-0.45274480478771295
Callimico goeldii,0,50,0.45732746098598,17.9,2.884800712846709,5.33,0.995676196568517,arboreal,0.1,0.09956761965685171,1.7822603918576454,-0.45118239576048214
