scientific_name_raw,scientific_name_display,scientific_name_clean_original,scientific_name_clean,merged_from_species,n_rows_collapsed,n_unique_input_species,routine_trichromacy,routine_trichromacy_conflict,diet_pct_fruit_eltontraits,longevity_years,log_longevity,abs_latitude,uv_i,foraging_stratum_eltontraits,foraging_stratum_conflict,arboreal_i,luv_raw,z_frugivory,z_luv,z_lifetime
Allenopithecus nigroviridis,Allenopithecus nigroviridis,allenopithecus nigroviridis,allenopithecus nigroviridis,allenopithecus nigroviridis,1,1,1,FALSE,50,23,3.1354942159291497,0.17,0.9999955982815133,scansorial,FALSE,1,22.999898760474807,0.46045447477874507,-0.5211971566585872,-0.5073329492840883
Alouatta caraya,Alouatta caraya,alouatta caraya,alouatta caraya,alouatta caraya,1,1,1,FALSE,40,20.3,3.0106208860477417,20.34,0.9376464992972356,arboreal,FALSE,0.1,19.034223935733884,-0.043376146174809144,-0.9131807298726025,-0.7160169815012277
Alouatta palliata,Alouatta palliata,alouatta palliata,alouatta palliata,alouatta palliata,1,1,1,FALSE,40,25,3.2188758248682006,6.95,0.992652124759271,arboreal,FALSE,0.1,24.816303118981775,-0.043376146174809144,-0.3416562960698506,-0.35275218467879993
Alouatta pigra,Alouatta pigra,alouatta pigra,alouatta pigra,alouatta pigra,1,1,1,FALSE,40,20,2.995732273553991,18.8,0.9466492601156964,arboreal,FALSE,0.1,18.93298520231393,-0.043376146174809144,-0.923187581726929,-0.739204096192021
Alouatta seniculus,Alouatta seniculus,alouatta seniculus,alouatta seniculus,alouatta seniculus,1,1,1,FALSE,40,25,3.2188758248682006,0.6799999999999999,0.9999295732792147,arboreal,FALSE,0.1,24.99823933198037,-0.043376146174809144,-0.3236729741839282,-0.35275218467879993
Ateles belzebuth,Ateles belzebuth,ateles belzebuth,ateles belzebuth,ateles belzebuth,2,1,0,FALSE,60,28,3.332204510175204,2.565,0.9989980940754456,arboreal,FALSE,0.1,27.971946634112477,0.9642850957322994,-0.029739541540845935,-0.12088103777086728
Ateles fusciceps,Ateles fusciceps,ateles fusciceps,ateles fusciceps,ateles fusciceps,1,1,0,FALSE,60,24,3.1780538303479458,6.44,0.9936898569964848,arboreal,FALSE,0.1,23.848556567915637,0.9642850957322994,-0.4373123364203669,-0.43004256698144416
Ateles geoffroyi,Ateles geoffroyi,ateles geoffroyi,ateles geoffroyi,ateles geoffroyi,1,1,0,FALSE,60,27.3,3.3068867021909143,12.38,0.9767471755999566,arboreal,FALSE,0.1,26.665197893878815,0.9642850957322994,-0.15890394939750052,-0.17498430538271817
Ateles paniscus,Ateles paniscus,ateles paniscus,ateles paniscus,ateles paniscus,1,1,0,FALSE,60,37.8,3.632309102625542,2.06,0.9993537323810014,arboreal,FALSE,0.1,37.775571084001854,0.9642850957322994,0.9392909292232253,0.6365647087950458
Brachyteles arachnoides,Brachyteles arachnoides,brachyteles arachnoides,brachyteles arachnoides,brachyteles arachnoides,1,1,0,FALSE,20,40,3.6888794541139363,22.66,0.9228072778591088,arboreal,FALSE,0.1,36.91229111436435,-1.0510373880819177,0.8539607944700054,0.8066035498608634
