scientific_name_raw,scientific_name_display,scientific_name_clean_original,scientific_name_clean,tree_tip_raw,tree_tip_display
Allenopithecus nigroviridis,Allenopithecus nigroviridis,allenopithecus nigroviridis,allenopithecus nigroviridis,allenopithecus nigroviridis,allenopithecus nigroviridis
Alouatta caraya,Alouatta caraya,alouatta caraya,alouatta caraya,alouatta caraya,alouatta caraya
Alouatta palliata,Alouatta palliata,alouatta palliata,alouatta palliata,alouatta palliata,alouatta palliata
Alouatta pigra,Alouatta pigra,alouatta pigra,alouatta pigra,alouatta pigra,alouatta pigra
Alouatta seniculus,Alouatta seniculus,alouatta seniculus,alouatta seniculus,alouatta seniculus,alouatta seniculus
Ateles belzebuth,Ateles belzebuth,ateles belzebuth,ateles belzebuth,ateles belzebuth,ateles belzebuth
Ateles chamek,Ateles chamek,ateles chamek,ateles chamek,ateles chamek,ateles chamek
Ateles fusciceps,Ateles fusciceps,ateles fusciceps,ateles fusciceps,ateles fusciceps,ateles fusciceps
Ateles geoffroyi,Ateles geoffroyi,ateles geoffroyi,ateles geoffroyi,ateles geoffroyi,ateles geoffroyi
Ateles paniscus,Ateles paniscus,ateles paniscus,ateles paniscus,ateles paniscus,ateles paniscus
Brachyteles arachnoides,Brachyteles arachnoides,brachyteles arachnoides,brachyteles arachnoides,brachyteles arachnoides,brachyteles arachnoides
Cacajao calvus,Cacajao calvus,cacajao calvus,cacajao calvus,cacajao calvus,cacajao calvus
Cacajao melanocephalus,Cacajao melanocephalus,cacajao melanocephalus,cacajao melanocephalus,cacajao melanocephalus,cacajao melanocephalus
Callicebus moloch,Callicebus moloch,callicebus moloch,callicebus moloch,callicebus moloch,callicebus moloch
Callimico goeldii,Callimico goeldii,callimico goeldii,callimico goeldii,callimico goeldii,callimico goeldii
Callithrix argentata,Callithrix argentata,callithrix argentata,callithrix argentata,callithrix argentata,callithrix argentata
Callithrix geoffroyi,Callithrix geoffroyi,callithrix geoffroyi,callithrix geoffroyi,callithrix geoffroyi,callithrix geoffroyi
Callithrix humeralifera,Callithrix humeralifera,callithrix humeralifera,callithrix humeralifera,callithrix humeralifera,callithrix humeralifera
Callithrix jacchus,Callithrix jacchus,callithrix jacchus,callithrix jacchus,callithrix jacchus,callithrix jacchus
