scientific_name_raw,scientific_name_display,scientific_name_clean_original,scientific_name_clean,tree_tip_raw,tree_tip_display,in_tree
Allenopithecus nigroviridis,Allenopithecus nigroviridis,allenopithecus nigroviridis,allenopithecus nigroviridis,allenopithecus nigroviridis,allenopithecus nigroviridis,TRUE
Alouatta caraya,Alouatta caraya,alouatta caraya,alouatta caraya,alouatta caraya,alouatta caraya,TRUE
Alouatta palliata,Alouatta palliata,alouatta palliata,alouatta palliata,alouatta palliata,alouatta palliata,TRUE
Alouatta pigra,Alouatta pigra,alouatta pigra,alouatta pigra,alouatta pigra,alouatta pigra,TRUE
Alouatta seniculus,Alouatta seniculus,alouatta seniculus,alouatta seniculus,alouatta seniculus,alouatta seniculus,TRUE
Ateles belzebuth,Ateles belzebuth,ateles belzebuth,ateles belzebuth,ateles belzebuth,ateles belzebuth,TRUE
Ateles chamek,Ateles chamek,ateles chamek,ateles chamek,ateles chamek,ateles chamek,TRUE
Ateles fusciceps,Ateles fusciceps,ateles fusciceps,ateles fusciceps,ateles fusciceps,ateles fusciceps,TRUE
Ateles geoffroyi,Ateles geoffroyi,ateles geoffroyi,ateles geoffroyi,ateles geoffroyi,ateles geoffroyi,TRUE
Ateles paniscus,Ateles paniscus,ateles paniscus,ateles paniscus,ateles paniscus,ateles paniscus,TRUE
Brachyteles arachnoides,Brachyteles arachnoides,brachyteles arachnoides,brachyteles arachnoides,brachyteles arachnoides,brachyteles arachnoides,TRUE
Cacajao calvus,Cacajao calvus,cacajao calvus,cacajao calvus,cacajao calvus,cacajao calvus,TRUE
Cacajao melanocephalus,Cacajao melanocephalus,cacajao melanocephalus,cacajao melanocephalus,cacajao melanocephalus,cacajao melanocephalus,TRUE
Callicebus moloch,Callicebus moloch,callicebus moloch,callicebus moloch,callicebus moloch,callicebus moloch,TRUE
Callimico goeldii,Callimico goeldii,callimico goeldii,callimico goeldii,callimico goeldii,callimico goeldii,TRUE
Callithrix argentata,Callithrix argentata,callithrix argentata,callithrix argentata,callithrix argentata,callithrix argentata,TRUE
Callithrix geoffroyi,Callithrix geoffroyi,callithrix geoffroyi,callithrix geoffroyi,callithrix geoffroyi,callithrix geoffroyi,TRUE
Callithrix humeralifera,Callithrix humeralifera,callithrix humeralifera,callithrix humeralifera,callithrix humeralifera,callithrix humeralifera,TRUE
Callithrix jacchus,Callithrix jacchus,callithrix jacchus,callithrix jacchus,callithrix jacchus,callithrix jacchus,TRUE
