tree_tip_raw,tree_tip_display,tree_tip_clean
allenopithecus nigroviridis,allenopithecus nigroviridis,allenopithecus nigroviridis
allocebus trichotis,allocebus trichotis,allocebus trichotis
alouatta belzebul,alouatta belzebul,alouatta belzebul
alouatta caraya,alouatta caraya,alouatta caraya
alouatta guariba,alouatta guariba,alouatta guariba
alouatta palliata,alouatta palliata,alouatta palliata
alouatta pigra,alouatta pigra,alouatta pigra
alouatta sara,alouatta sara,alouatta sara
alouatta seniculus,alouatta seniculus,alouatta seniculus
aotus azarai,aotus azarai,aotus azarai
aotus brumbacki,aotus brumbacki,aotus brumbacki
aotus infulatus,aotus infulatus,aotus infulatus
aotus lemurinus,aotus lemurinus,aotus lemurinus
aotus nancymaae,aotus nancymaae,aotus nancymaae
aotus nigriceps,aotus nigriceps,aotus nigriceps
aotus trivirgatus,aotus trivirgatus,aotus trivirgatus
aotus vociferans,aotus vociferans,aotus vociferans
archaeolemur majori,archaeolemur majori,archaeolemur majori
arctocebus aureus,arctocebus aureus,arctocebus aureus
arctocebus calabarensis,arctocebus calabarensis,arctocebus calabarensis
ateles belzebuth,ateles belzebuth,ateles belzebuth
ateles fusciceps,ateles fusciceps,ateles fusciceps
ateles geoffroyi,ateles geoffroyi,ateles geoffroyi
ateles paniscus,ateles paniscus,ateles paniscus
avahi cleesei,avahi cleesei,avahi cleesei
avahi laniger,avahi laniger,avahi laniger
avahi occidentalis,avahi occidentalis,avahi occidentalis
avahi unicolor,avahi unicolor,avahi unicolor
brachyteles arachnoides,brachyteles arachnoides,brachyteles arachnoides
bunopithecus hoolock,bunopithecus hoolock,bunopithecus hoolock
cacajao calvus,cacajao calvus,cacajao calvus
cacajao melanocephalus,cacajao melanocephalus,cacajao melanocephalus
callicebus donacophilus,callicebus donacophilus,callicebus donacophilus
callicebus hoffmannsi,callicebus hoffmannsi,callicebus hoffmannsi
callicebus moloch,callicebus moloch,callicebus moloch
callicebus personatus,callicebus personatus,callicebus personatus
callicebus torquatus,callicebus torquatus,callicebus torquatus
callimico goeldii,callimico goeldii,callimico goeldii
callithrix argentata,callithrix argentata,callithrix argentata
callithrix aurita,callithrix aurita,callithrix aurita
callithrix emiliae,callithrix emiliae,callithrix emiliae
callithrix geoffroyi,callithrix geoffroyi,callithrix geoffroyi
callithrix humeralifera,callithrix humeralifera,callithrix humeralifera
callithrix jacchus,callithrix jacchus,callithrix jacchus
callithrix kuhli,callithrix kuhli,callithrix kuhli
callithrix mauesi,callithrix mauesi,callithrix mauesi
callithrix penicillata,callithrix penicillata,callithrix penicillata
callithrix pygmaea,callithrix pygmaea,callithrix pygmaea
cebus albifrons,cebus albifrons,cebus albifrons
cebus apella,cebus apella,cebus apella
cebus capucinus,cebus capucinus,cebus capucinus
cebus olivaceus,cebus olivaceus,cebus olivaceus
cebus xanthosternos,cebus xanthosternos,cebus xanthosternos
cercocebus agilis,cercocebus agilis,cercocebus agilis
cercocebus galeritus,cercocebus galeritus,cercocebus galeritus
cercocebus torquatus,cercocebus torquatus,cercocebus torquatus
cercopithecus albogularis,cercopithecus albogularis,cercopithecus albogularis
cercopithecus ascanius,cercopithecus ascanius,cercopithecus ascanius
cercopithecus campbelli,cercopithecus campbelli,cercopithecus campbelli
cercopithecus cephus,cercopithecus cephus,cercopithecus cephus
cercopithecus diana,cercopithecus diana,cercopithecus diana
cercopithecus erythrogaster,cercopithecus erythrogaster,cercopithecus erythrogaster
cercopithecus erythrotis,cercopithecus erythrotis,cercopithecus erythrotis
cercopithecus hamlyni,cercopithecus hamlyni,cercopithecus hamlyni
cercopithecus lhoesti,cercopithecus lhoesti,cercopithecus lhoesti
cercopithecus mitis,cercopithecus mitis,cercopithecus mitis
cercopithecus mona,cercopithecus mona,cercopithecus mona
cercopithecus neglectus,cercopithecus neglectus,cercopithecus neglectus
cercopithecus nictitans,cercopithecus nictitans,cercopithecus nictitans
cercopithecus petaurista,cercopithecus petaurista,cercopithecus petaurista
cercopithecus pogonias,cercopithecus pogonias,cercopithecus pogonias
cercopithecus preussi,cercopithecus preussi,cercopithecus preussi
cercopithecus solatus,cercopithecus solatus,cercopithecus solatus
cercopithecus wolfi,cercopithecus wolfi,cercopithecus wolfi
cheirogaleus crossleyi,cheirogaleus crossleyi,cheirogaleus crossleyi
cheirogaleus major,cheirogaleus major,cheirogaleus major
cheirogaleus medius,cheirogaleus medius,cheirogaleus medius
chiropotes satanas,chiropotes satanas,chiropotes satanas
chlorocebus aethiops,chlorocebus aethiops,chlorocebus aethiops
