tree_tip_raw,tree_tip_display,tree_tip_clean
Allenopithecus_nigroviridis,Allenopithecus nigroviridis,allenopithecus nigroviridis
Allocebus_trichotis,Allocebus trichotis,allocebus trichotis
Alouatta_belzebul,Alouatta belzebul,alouatta belzebul
Alouatta_caraya,Alouatta caraya,alouatta caraya
Alouatta_guariba,Alouatta guariba,alouatta guariba
Alouatta_palliata,Alouatta palliata,alouatta palliata
Alouatta_pigra,Alouatta pigra,alouatta pigra
Alouatta_sara,Alouatta sara,alouatta sara
Alouatta_seniculus,Alouatta seniculus,alouatta seniculus
Aotus_azarai,Aotus azarai,aotus azarai
Aotus_azarai_boliviensis,Aotus azarai boliviensis,aotus azarai
Aotus_brumbacki,Aotus brumbacki,aotus brumbacki
Aotus_infulatus,Aotus infulatus,aotus infulatus
Aotus_lemurinus,Aotus lemurinus,aotus lemurinus
Aotus_lemurinus_griseimembra,Aotus lemurinus griseimembra,aotus lemurinus
Aotus_nancymaae,Aotus nancymaae,aotus nancymaae
Aotus_nigriceps,Aotus nigriceps,aotus nigriceps
Aotus_trivirgatus,Aotus trivirgatus,aotus trivirgatus
Aotus_vociferans,Aotus vociferans,aotus vociferans
Archaeolemur_majori,Archaeolemur majori,archaeolemur majori
Arctocebus_aureus,Arctocebus aureus,arctocebus aureus
Arctocebus_calabarensis,Arctocebus calabarensis,arctocebus calabarensis
Ateles_belzebuth,Ateles belzebuth,ateles belzebuth
Ateles_fusciceps,Ateles fusciceps,ateles fusciceps
Ateles_geoffroyi,Ateles geoffroyi,ateles geoffroyi
Ateles_paniscus,Ateles paniscus,ateles paniscus
Avahi_cleesei,Avahi cleesei,avahi cleesei
Avahi_laniger,Avahi laniger,avahi laniger
Avahi_occidentalis,Avahi occidentalis,avahi occidentalis
Avahi_unicolor,Avahi unicolor,avahi unicolor
Brachyteles_arachnoides,Brachyteles arachnoides,brachyteles arachnoides
Bunopithecus_hoolock,Bunopithecus hoolock,bunopithecus hoolock
Cacajao_calvus,Cacajao calvus,cacajao calvus
Cacajao_melanocephalus,Cacajao melanocephalus,cacajao melanocephalus
Callicebus_donacophilus,Callicebus donacophilus,callicebus donacophilus
Callicebus_hoffmannsi,Callicebus hoffmannsi,callicebus hoffmannsi
Callicebus_moloch,Callicebus moloch,callicebus moloch
Callicebus_personatus,Callicebus personatus,callicebus personatus
Callicebus_torquatus,Callicebus torquatus,callicebus torquatus
Callimico_goeldii,Callimico goeldii,callimico goeldii
Callithrix_argentata,Callithrix argentata,callithrix argentata
Callithrix_aurita,Callithrix aurita,callithrix aurita
Callithrix_emiliae,Callithrix emiliae,callithrix emiliae
Callithrix_geoffroyi,Callithrix geoffroyi,callithrix geoffroyi
Callithrix_humeralifera,Callithrix humeralifera,callithrix humeralifera
Callithrix_jacchus,Callithrix jacchus,callithrix jacchus
Callithrix_kuhli,Callithrix kuhli,callithrix kuhli
Callithrix_mauesi,Callithrix mauesi,callithrix mauesi
Callithrix_penicillata,Callithrix penicillata,callithrix penicillata
Callithrix_pygmaea,Callithrix pygmaea,callithrix pygmaea
Cebus_albifrons,Cebus albifrons,cebus albifrons
Cebus_apella,Cebus apella,cebus apella
Cebus_capucinus,Cebus capucinus,cebus capucinus
Cebus_olivaceus,Cebus olivaceus,cebus olivaceus
Cebus_xanthosternos,Cebus xanthosternos,cebus xanthosternos
Cercocebus_agilis,Cercocebus agilis,cercocebus agilis
Cercocebus_galeritus,Cercocebus galeritus,cercocebus galeritus
Cercocebus_torquatus,Cercocebus torquatus,cercocebus torquatus
Cercocebus_torquatus_atys,Cercocebus torquatus atys,cercocebus torquatus
Cercopithecus_albogularis,Cercopithecus albogularis,cercopithecus albogularis
Cercopithecus_ascanius,Cercopithecus ascanius,cercopithecus ascanius
Cercopithecus_campbelli,Cercopithecus campbelli,cercopithecus campbelli
Cercopithecus_campbelli_lowei,Cercopithecus campbelli lowei,cercopithecus campbelli
Cercopithecus_cephus,Cercopithecus cephus,cercopithecus cephus
Cercopithecus_cephus_cephus,Cercopithecus cephus cephus,cercopithecus cephus
Cercopithecus_cephus_ngottoensis,Cercopithecus cephus ngottoensis,cercopithecus cephus
Cercopithecus_diana,Cercopithecus diana,cercopithecus diana
Cercopithecus_erythrogaster,Cercopithecus erythrogaster,cercopithecus erythrogaster
Cercopithecus_erythrogaster_erythrogaster,Cercopithecus erythrogaster erythrogaster,cercopithecus erythrogaster
Cercopithecus_erythrotis,Cercopithecus erythrotis,cercopithecus erythrotis
