tree_tip_raw,tree_tip_clean
Allenopithecus_nigroviridis,allenopithecus nigroviridis
Allocebus_trichotis,allocebus trichotis
Alouatta_belzebul,alouatta belzebul
Alouatta_caraya,alouatta caraya
Alouatta_guariba,alouatta guariba
Alouatta_palliata,alouatta palliata
Alouatta_pigra,alouatta pigra
Alouatta_sara,alouatta sara
Alouatta_seniculus,alouatta seniculus
Aotus_azarai,aotus azarai
Aotus_brumbacki,aotus brumbacki
Aotus_infulatus,aotus infulatus
Aotus_lemurinus,aotus lemurinus
Aotus_nancymaae,aotus nancymaae
Aotus_nigriceps,aotus nigriceps
Aotus_trivirgatus,aotus trivirgatus
Aotus_vociferans,aotus vociferans
Archaeolemur_majori,archaeolemur majori
Arctocebus_aureus,arctocebus aureus
Arctocebus_calabarensis,arctocebus calabarensis
Ateles_belzebuth,ateles belzebuth
Ateles_fusciceps,ateles fusciceps
Ateles_geoffroyi,ateles geoffroyi
Ateles_paniscus,ateles paniscus
Avahi_cleesei,avahi cleesei
Avahi_laniger,avahi laniger
Avahi_occidentalis,avahi occidentalis
Avahi_unicolor,avahi unicolor
Brachyteles_arachnoides,brachyteles arachnoides
Bunopithecus_hoolock,bunopithecus hoolock
Cacajao_calvus,cacajao calvus
Cacajao_melanocephalus,cacajao melanocephalus
Callicebus_donacophilus,callicebus donacophilus
Callicebus_hoffmannsi,callicebus hoffmannsi
Callicebus_moloch,callicebus moloch
Callicebus_personatus,callicebus personatus
Callicebus_torquatus,callicebus torquatus
Callimico_goeldii,callimico goeldii
Callithrix_argentata,callithrix argentata
Callithrix_aurita,callithrix aurita
Callithrix_emiliae,callithrix emiliae
Callithrix_geoffroyi,callithrix geoffroyi
Callithrix_humeralifera,callithrix humeralifera
Callithrix_jacchus,callithrix jacchus
Callithrix_kuhli,callithrix kuhli
Callithrix_mauesi,callithrix mauesi
Callithrix_penicillata,callithrix penicillata
Callithrix_pygmaea,callithrix pygmaea
Cebus_albifrons,cebus albifrons
Cebus_apella,cebus apella
Cebus_capucinus,cebus capucinus
Cebus_olivaceus,cebus olivaceus
Cebus_xanthosternos,cebus xanthosternos
Cercocebus_agilis,cercocebus agilis
Cercocebus_galeritus,cercocebus galeritus
Cercocebus_torquatus,cercocebus torquatus
Cercopithecus_albogularis,cercopithecus albogularis
Cercopithecus_ascanius,cercopithecus ascanius
Cercopithecus_campbelli,cercopithecus campbelli
Cercopithecus_cephus,cercopithecus cephus
Cercopithecus_diana,cercopithecus diana
Cercopithecus_erythrogaster,cercopithecus erythrogaster
Cercopithecus_erythrotis,cercopithecus erythrotis
Cercopithecus_hamlyni,cercopithecus hamlyni
Cercopithecus_lhoesti,cercopithecus lhoesti
Cercopithecus_mitis,cercopithecus mitis
Cercopithecus_mona,cercopithecus mona
Cercopithecus_neglectus,cercopithecus neglectus
Cercopithecus_nictitans,cercopithecus nictitans
Cercopithecus_petaurista,cercopithecus petaurista
Cercopithecus_pogonias,cercopithecus pogonias
Cercopithecus_preussi,cercopithecus preussi
Cercopithecus_solatus,cercopithecus solatus
Cercopithecus_wolfi,cercopithecus wolfi
Cheirogaleus_crossleyi,cheirogaleus crossleyi
Cheirogaleus_major,cheirogaleus major
Cheirogaleus_medius,cheirogaleus medius
Chiropotes_satanas,chiropotes satanas
Chlorocebus_aethiops,chlorocebus aethiops
Chlorocebus_pygerythrus,chlorocebus pygerythrus
Chlorocebus_sabaeus,chlorocebus sabaeus
Chlorocebus_tantalus,chlorocebus tantalus
Colobus_angolensis,colobus angolensis
Colobus_guereza,colobus guereza
Colobus_polykomos,colobus polykomos
Colobus_satanas,colobus satanas
Colobus_vellerosus,colobus vellerosus
Daubentonia_madagascariensis,daubentonia madagascariensis
Erythrocebus_patas,erythrocebus patas
Eulemur_coronatus,eulemur coronatus
Eulemur_fulvus_albifrons,eulemur fulvus
Eulemur_macaco_flavifrons,eulemur macaco
Eulemur_mongoz,eulemur mongoz
Eulemur_rubriventer,eulemur rubriventer
Euoticus_elegantulus,euoticus elegantulus
Galago_alleni,galago alleni
Galago_gallarum,galago gallarum
Galago_granti,galago granti
Galago_matschiei,galago matschiei
Galago_moholi,galago moholi
Galago_senegalensis,galago senegalensis
Galagoides_demidoff,galagoides demidoff
Galagoides_zanzibaricus,galagoides zanzibaricus
Gorilla_beringei,gorilla beringei
Gorilla_gorilla_gorilla,gorilla gorilla
Hapalemur_aureus,hapalemur aureus
Hapalemur_griseus,hapalemur griseus
Hapalemur_simus,hapalemur simus
Homo_sapiens,homo sapiens
Hylobates_agilis,hylobates agilis
Hylobates_klossii,hylobates klossii
Hylobates_lar,hylobates lar
Hylobates_moloch,hylobates moloch
Hylobates_muelleri,hylobates muelleri
Hylobates_pileatus,hylobates pileatus
Indri_indri,indri indri
Lagothrix_lagotricha,lagothrix lagotricha
Lemur_catta,lemur catta
Leontopithecus_chrysomelas,leontopithecus chrysomelas
Leontopithecus_chrysopygus,leontopithecus chrysopygus
Leontopithecus_rosalia,leontopithecus rosalia
Lepilemur_aeeclis,lepilemur aeeclis
Lepilemur_ankaranensis,lepilemur ankaranensis
Lepilemur_dorsalis,lepilemur dorsalis
Lepilemur_edwardsi,lepilemur edwardsi
Lepilemur_hubbardorum,lepilemur hubbardorum
Lepilemur_leucopus,lepilemur leucopus
Lepilemur_manasamody,lepilemur manasamody
Lepilemur_microdon,lepilemur microdon
Lepilemur_mitsinjoensis,lepilemur mitsinjoensis
Lepilemur_mustelinus,lepilemur mustelinus
Lepilemur_otto,lepilemur otto
Lepilemur_randrianasoli,lepilemur randrianasoli
Lepilemur_ruficaudatus,lepilemur ruficaudatus
Lepilemur_sahamalazensis,lepilemur sahamalazensis
Lepilemur_seali,lepilemur seali
Lepilemur_septentrionalis,lepilemur septentrionalis
Lophocebus_albigena,lophocebus albigena
Lophocebus_aterrimus,lophocebus aterrimus
Loris_lydekkerianus,loris lydekkerianus
Loris_tardigradus,loris tardigradus
Macaca_arctoides,macaca arctoides
Macaca_assamensis,macaca assamensis
Macaca_brunnescens,macaca brunnescens
Macaca_cyclopis,macaca cyclopis
Macaca_fascicularis,macaca fascicularis
Macaca_fuscata,macaca fuscata
Macaca_hecki,macaca hecki
Macaca_leonina,macaca leonina
Macaca_maura,macaca maura
Macaca_mulatta,macaca mulatta
Macaca_munzala,macaca munzala
Macaca_nemestrina,macaca nemestrina
Macaca_nigra,macaca nigra
Macaca_nigrescens,macaca nigrescens
