tree_tip_raw,tree_tip_display,tree_tip_clean_original,tree_tip_clean,was_remapped
Allenopithecus_nigroviridis,Allenopithecus nigroviridis,allenopithecus nigroviridis,allenopithecus nigroviridis,FALSE
Allocebus_trichotis,Allocebus trichotis,allocebus trichotis,allocebus trichotis,FALSE
Alouatta_belzebul,Alouatta belzebul,alouatta belzebul,alouatta belzebul,FALSE
Alouatta_caraya,Alouatta caraya,alouatta caraya,alouatta caraya,FALSE
Alouatta_guariba,Alouatta guariba,alouatta guariba,alouatta guariba,FALSE
Alouatta_palliata,Alouatta palliata,alouatta palliata,alouatta palliata,FALSE
Alouatta_pigra,Alouatta pigra,alouatta pigra,alouatta pigra,FALSE
Alouatta_sara,Alouatta sara,alouatta sara,alouatta sara,FALSE
Alouatta_seniculus,Alouatta seniculus,alouatta seniculus,alouatta seniculus,FALSE
Aotus_azarai,Aotus azarai,aotus azarai,aotus azarai,FALSE
Aotus_azarai_boliviensis,Aotus azarai boliviensis,aotus azarai,aotus azarai,FALSE
Aotus_brumbacki,Aotus brumbacki,aotus brumbacki,aotus brumbacki,FALSE
Aotus_infulatus,Aotus infulatus,aotus infulatus,aotus infulatus,FALSE
Aotus_lemurinus,Aotus lemurinus,aotus lemurinus,aotus lemurinus,FALSE
Aotus_lemurinus_griseimembra,Aotus lemurinus griseimembra,aotus lemurinus,aotus lemurinus,FALSE
Aotus_nancymaae,Aotus nancymaae,aotus nancymaae,aotus nancymaae,FALSE
Aotus_nigriceps,Aotus nigriceps,aotus nigriceps,aotus nigriceps,FALSE
Aotus_trivirgatus,Aotus trivirgatus,aotus trivirgatus,aotus trivirgatus,FALSE
Aotus_vociferans,Aotus vociferans,aotus vociferans,aotus vociferans,FALSE
Archaeolemur_majori,Archaeolemur majori,archaeolemur majori,archaeolemur majori,FALSE
Arctocebus_aureus,Arctocebus aureus,arctocebus aureus,arctocebus aureus,FALSE
Arctocebus_calabarensis,Arctocebus calabarensis,arctocebus calabarensis,arctocebus calabarensis,FALSE
Ateles_belzebuth,Ateles belzebuth,ateles belzebuth,ateles belzebuth,FALSE
